run_name,t_seconds,pump1_pwm,pump2_pwm,valve1,valve2,valve3,valve4,flow_p1,flow_p2,flow_valve1,flow_outlet,tower,treated,raw
full_cycle_run_002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,2.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,3.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,4.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,5.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,6.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,7.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,8.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,9.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,10.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,11.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,12.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,13.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,14.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,15.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,16.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,17.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,18.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,19.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,20.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,21.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,22.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,23.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,24.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,25.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,26.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,27.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,28.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,29.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,30.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,31.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,32.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,33.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,34.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,35.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,36.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,37.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,38.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,39.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,40.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,547.0
full_cycle_run_002,41.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,559.0
full_cycle_run_002,42.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,555.0
full_cycle_run_002,43.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,551.0
full_cycle_run_002,44.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,546.0
full_cycle_run_002,45.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,549.0
full_cycle_run_002,46.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,85.0,549.0
full_cycle_run_002,47.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,48.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,547.0
full_cycle_run_002,49.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,556.0
full_cycle_run_002,50.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,551.0
full_cycle_run_002,51.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,706.0,81.0,551.0
full_cycle_run_002,52.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,546.0
full_cycle_run_002,53.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,85.0,546.0
full_cycle_run_002,54.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,549.0
full_cycle_run_002,55.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,545.0
full_cycle_run_002,56.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,544.0
full_cycle_run_002,57.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,536.0
full_cycle_run_002,58.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,543.0
full_cycle_run_002,59.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,543.0
full_cycle_run_002,60.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,552.0
full_cycle_run_002,61.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,551.0
full_cycle_run_002,62.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,534.0
full_cycle_run_002,63.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,710.0,81.0,546.0
