id,run_name,timestamp,flow_p1,flow_p2,flow_valve1,flow_outlet,pump1_pwm,pump2_pwm,valve1,valve2,valve3,valve4
2178,live_water_test_1,3.41375300000608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2179,live_water_test_1,3.8976680000051855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2180,live_water_test_1,4.398558000005782,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2181,live_water_test_1,4.872716000005603,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2182,live_water_test_1,5.369996000006795,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2183,live_water_test_1,5.857506000004709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2184,live_water_test_1,6.352931000001728,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2185,live_water_test_1,6.8400770000070334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2186,live_water_test_1,7.332399000003934,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2187,live_water_test_1,7.828110000006855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2188,live_water_test_1,8.32193900000304,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2189,live_water_test_1,8.807680000007153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2190,live_water_test_1,9.299840000003575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2191,live_water_test_1,9.790488000005483,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2192,live_water_test_1,10.283572000004352,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2193,live_water_test_1,10.773335000000895,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2194,live_water_test_1,11.261729000002147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2195,live_water_test_1,11.757891000002623,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2196,live_water_test_1,12.248741000004113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2197,live_water_test_1,12.734551000006498,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2198,live_water_test_1,13.287057000003754,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2199,live_water_test_1,13.784416000001132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2200,live_water_test_1,14.284556000001729,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2201,live_water_test_1,14.798126000002027,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2202,live_water_test_1,15.281862000003457,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
