run_name,timestamp,pump1_pwm,pump2_pwm,valve1,valve2,valve3,valve4,flow_p1,flow_p2,flow_valve1,flow_outlet,dropped_pump1_low_flow,dropped_pump2_low_flow
full_cycle_run_001,28.762013000003993,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,29.258135000005364,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,29.752181000001727,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,30.240921000003816,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,30.733849000006913,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,31.208760000005363,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,31.713179000005127,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,32.20466899999976,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,32.69897200000286,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,33.18106400000304,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,33.67561800000072,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,34.16414100000262,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,34.66339100000262,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,35.1448200000003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,35.64411400000006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,36.13338300000131,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,36.628196000002326,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,37.114605000004175,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,False
full_cycle_run_001,39.59163000000268,150.0,0.0,0,0,0,0,3.0,0.0,0.0,0.0,False,False
full_cycle_run_001,40.072605000004174,150.0,0.0,0,0,0,0,3.0,0.0,0.0,0.0,False,False
full_cycle_run_001,40.563530000001194,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,41.05141000000388,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,41.54362200000137,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,42.04420800000429,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,42.52554399999976,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,43.02374400000274,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,43.524161000005904,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,44.002041000001135,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,44.48692300000042,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,44.98219700000435,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,45.48183100000024,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
