id,timestamp,tank1,tank2,tank3,raw_line,run_name
67,2026-07-07 18:35:24,820.0,244.0,823.0,"820,244,823",arduino_test_001
68,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
69,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
70,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
71,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
72,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
73,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
74,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
75,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
76,2026-07-08 20:26:56,,91.0,823.0,"Error,91,823",combined_run_001
77,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
78,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
79,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
80,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
81,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
82,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
83,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
84,2026-07-08 20:26:56,821.0,91.0,823.0,"821,91,823",combined_run_001
85,2026-07-08 20:26:57,821.0,91.0,823.0,"821,91,823",combined_run_001
86,2026-07-08 20:26:58,821.0,91.0,823.0,"821,91,823",combined_run_001
87,2026-07-08 20:26:59,,91.0,823.0,"Error,91,823",combined_run_001
88,2026-07-08 20:26:59,821.0,91.0,,"821,91,Error",combined_run_001
89,2026-07-08 20:27:00,821.0,91.0,823.0,"821,91,823",combined_run_001
90,2026-07-08 20:27:01,821.0,95.0,823.0,"821,95,823",combined_run_001
91,2026-07-08 20:27:02,821.0,91.0,823.0,"821,91,823",combined_run_001
92,2026-07-08 20:27:03,821.0,91.0,823.0,"821,91,823",combined_run_001
93,2026-07-08 20:27:03,821.0,91.0,,"821,91,Error",combined_run_001
94,2026-07-08 20:27:04,821.0,91.0,823.0,"821,91,823",combined_run_001
95,2026-07-08 20:27:05,821.0,95.0,823.0,"821,95,823",combined_run_001
96,2026-07-08 20:27:06,821.0,95.0,823.0,"821,95,823",combined_run_001
97,2026-07-08 20:27:07,821.0,91.0,823.0,"821,91,823",combined_run_001
98,2026-07-08 20:27:07,821.0,95.0,823.0,"821,95,823",combined_run_001
99,2026-07-08 20:27:08,821.0,95.0,823.0,"821,95,823",combined_run_001
100,2026-07-08 20:27:09,821.0,95.0,823.0,"821,95,823",combined_run_001
101,2026-07-08 20:27:10,821.0,91.0,823.0,"821,91,823",combined_run_001
102,2026-07-08 20:27:11,821.0,95.0,823.0,"821,95,823",combined_run_001
103,2026-07-08 20:27:11,821.0,91.0,,"821,91,Error",combined_run_001
104,2026-07-08 20:27:12,821.0,95.0,823.0,"821,95,823",combined_run_001
105,2026-07-08 20:27:13,821.0,91.0,823.0,"821,91,823",combined_run_001
106,2026-07-08 20:27:14,821.0,91.0,823.0,"821,91,823",combined_run_001
107,2026-07-08 20:27:15,821.0,91.0,823.0,"821,91,823",combined_run_001
108,2026-07-08 20:27:15,821.0,91.0,,"821,91,Error",combined_run_001
109,2026-07-08 20:27:16,821.0,91.0,823.0,"821,91,823",combined_run_001
110,2026-07-08 20:27:17,821.0,91.0,823.0,"821,91,823",combined_run_001
111,2026-07-08 20:27:18,821.0,91.0,823.0,"821,91,823",combined_run_001
112,2026-07-08 20:27:19,821.0,91.0,823.0,"821,91,823",combined_run_001
113,2026-07-08 20:27:19,821.0,91.0,,"821,91,Error",combined_run_001
114,2026-07-08 20:27:20,821.0,95.0,823.0,"821,95,823",combined_run_001
115,2026-07-08 20:27:21,,91.0,823.0,"Error,91,823",combined_run_001
116,2026-07-08 20:27:22,821.0,91.0,823.0,"821,91,823",combined_run_001
117,2026-07-08 20:27:23,821.0,91.0,823.0,"821,91,823",combined_run_001
118,2026-07-08 20:27:23,821.0,91.0,823.0,"821,91,823",combined_run_001
