run_name,stage,start_s,end_s,duration_s,esp32_rows,arduino_rows,pump1_on_percent,pump2_on_percent,avg_pump1_pwm,avg_pump2_pwm,max_pump1_pwm,max_pump2_pwm,valve1_on_percent,valve2_on_percent,valve3_on_percent,valve4_on_percent,avg_flow_p1,avg_flow_p2,avg_flow_valve1,avg_flow_outlet,max_flow_p1,max_flow_p2,max_flow_valve1,max_flow_outlet,tower_change,treated_change,raw_change,avg_tower,avg_treated,avg_raw,sensor_error_count,sensor_error_percent,flow_after_pumps_off_count,pump1_low_flow_count,pump2_low_flow_count
full_cycle_run_003,baseline,0,30,30,61,55,27.87,0.0,55.738,0.0,200.0,0.0,0.0,0.0,0.0,0.0,3.869,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-30.0,38.0,-10.0,710.148,500.098,694.093,6,10.91,0,3,0
full_cycle_run_003,groundwater_to_raw,30,90,60,121,19,100.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,15.868,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,-4.0,693.789,529.0,699.211,1,5.26,0,0,0
full_cycle_run_003,raw_to_treated,90,150,60,121,0,100.0,0.0,200.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,15.711,0.0,5.95,0.0,19.0,0.0,8.0,0.0,,,,,,,0,0.0,0,0,0
full_cycle_run_003,treated_to_tower,150,210,60,121,0,87.6,17.36,175.207,26.033,200.0,150.0,90.08,0.0,0.0,0.0,13.777,5.289,6.785,0.0,16.0,39.0,9.0,0.0,,,,,,,0,0.0,0,0,2
full_cycle_run_003,full_pathway,210,270,60,121,60,49.59,92.56,99.174,142.149,200.0,200.0,46.28,0.0,0.0,0.0,7.264,34.438,3.174,0.0,17.0,45.0,9.0,0.0,4.0,0.0,-10.0,692.983,529.0,697.017,5,8.33,0,3,2
full_cycle_run_003,shutdown,270,330,60,122,75,100.0,100.0,200.0,200.0,200.0,200.0,100.0,99.18,72.13,62.3,14.951,45.246,7.795,18.803,16.0,50.0,10.0,23.0,0.0,-5.0,-57.0,690.853,528.875,668.521,5,6.67,0,0,0
