horizon_seconds,train_runs,test_run,model,train_rows,test_rows,mae_tower,mae_treated,mae_raw,avg_mae,avg_rmse,overall_r2
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Linear Regression,3438,869,16.053517620134794,5.09155344700423,2.025399343531623,7.723490136890216,13.013455502815644,0.9667382212802187
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Ridge Regression,3438,869,16.041425901214478,5.133619250714118,1.991891895255606,7.722312349061401,13.021815761684907,0.9667357720414917
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Random Forest,3438,869,33.70395370534013,50.163332323086145,165.80245221746037,83.22324608196222,91.1313376588392,-0.4985752471225221
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Persistence (no change),3653,654,5.068807339449541,13.22782874617737,2.085626911314985,6.794087665647299,12.469981277329884,0.9522289048995731
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Mean Predictor,3653,654,170.05300490318027,241.82389322671477,35.95911198621072,149.2786700387019,162.01334045714165,-5.165589546938886
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Linear Regression,3653,654,9.374178165793424,16.957672208904235,1.791906877510176,9.374585750735944,13.871026445735586,0.9442858361570201
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Ridge Regression,3653,654,9.46848474786668,16.93781723247031,1.7724792594612166,9.392927079932736,13.898628109771074,0.9441910721078113
10,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Random Forest,3653,654,76.79217075008928,42.71433994639057,14.085104091757474,44.53053826274578,57.639401868913325,0.20051375723839088
30,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Persistence (no change),3491,697,6.817790530846485,27.028694404591104,5.222381635581062,13.022955523672882,40.43915763278562,0.8675317743677367
30,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Mean Predictor,3491,697,53.26600867900946,345.4691362540358,55.39108188426368,151.37540893910298,170.55712097929256,-1.2258586130875706
30,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Linear Regression,3491,697,12.477796844463324,35.079947612524414,5.700690043331932,17.752811500106557,43.06996519531831,0.8589323944878378
30,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Ridge Regression,3491,697,12.502255872755873,34.963460348391514,5.699017565419844,17.721577928855744,43.042735499746335,0.859143577596963
30,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Random Forest,3491,697,48.75503913494883,217.24220662917853,26.398046999356662,97.465097587828,111.40165893688288,0.10696007019071158
30,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Persistence (no change),3852,336,19.09375,11.952380952380953,12.087797619047619,14.37797619047619,28.644026525870654,0.6178388818385152
30,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Mean Predictor,3852,336,54.569962109973694,20.13326719576714,48.27026312861567,40.9911641447855,57.92866705869318,-0.4318147915098138
30,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Linear Regression,3852,336,15.311240686398325,17.206221966678406,5.536358640261912,12.684607097779548,26.44061711385841,0.6503747430027825
30,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Ridge Regression,3852,336,15.321695617114058,17.221062626120936,5.520117740340469,12.687625327858486,26.44028989413216,0.6502726679230368
30,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Random Forest,3852,336,38.60470902566371,71.97708268820577,22.17869535009781,44.253495687989094,56.97522614450427,-0.39273954980927445
30,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Persistence (no change),3249,939,13.27689030883919,8.231629392971247,10.780617678381256,10.76304579339723,17.688152865741355,0.8357207074497413
