run_name,stage,start_s,end_s,duration_s,esp32_rows,arduino_rows,pump1_on_percent,pump2_on_percent,avg_pump1_pwm,avg_pump2_pwm,max_pump1_pwm,max_pump2_pwm,valve1_on_percent,valve2_on_percent,valve3_on_percent,valve4_on_percent,avg_flow_p1,avg_flow_p2,avg_flow_valve1,avg_flow_outlet,max_flow_p1,max_flow_p2,max_flow_valve1,max_flow_outlet,tower_change,treated_change,raw_change,avg_tower,avg_treated,avg_raw,sensor_error_count,sensor_error_percent,flow_after_pumps_off_count,pump1_low_flow_count,pump2_low_flow_count
full_cycle_run_004,baseline,0,60,60,121,76,4.13,0.0,4.132,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-9.0,729.107,676.0,643.413,4,5.26,0,3,0
full_cycle_run_004,groundwater_to_raw,60,240,180,363,224,96.14,0.0,124.105,0.0,150.0,0.0,0.0,0.0,0.0,0.0,11.667,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,-110.0,729.074,676.0,591.588,21,9.38,8,2,0
full_cycle_run_004,raw_to_treated,240,420,180,364,225,46.43,0.0,92.857,0.0,200.0,0.0,83.52,0.0,0.0,0.0,9.019,0.0,6.415,0.0,21.0,0.0,11.0,0.0,0.0,-59.0,3.0,729.2,648.441,510.189,30,13.33,192,5,0
full_cycle_run_004,treated_to_tower,420,600,180,365,224,0.0,82.74,0.0,88.767,0.0,150.0,100.0,0.0,0.0,0.0,0.0,10.942,6.945,0.0,0.0,41.0,10.0,0.0,-82.0,50.0,58.0,699.141,617.902,564.614,22,9.82,63,0,4
full_cycle_run_004,full_pathway,600,780,180,366,225,0.0,30.05,0.0,56.831,0.0,200.0,100.0,21.58,26.78,26.5,0.0,13.322,6.12,8.792,0.0,51.0,9.0,21.0,27.0,19.0,47.0,619.731,696.358,614.493,21,9.33,256,0,3
full_cycle_run_004,shutdown,780,970,190,387,237,0.0,0.0,0.0,0.0,0.0,0.0,72.09,60.21,18.09,16.28,0.0,0.0,3.876,13.339,0.0,0.0,8.0,21.0,99.0,-25.0,30.0,729.481,662.561,656.317,21,8.86,370,0,0
