file,run_name,rows,duration_s,tower_missing_percent,tower_min,tower_max,tower_mean,treated_missing_percent,treated_min,treated_max,treated_mean,raw_missing_percent,raw_min,raw_max,raw_mean,unique_pump1_pwm_values,unique_pump2_pwm_values,valve1_on_percent,valve2_on_percent,valve3_on_percent,valve4_on_percent,usable_for_tank_forecasting,tank_forecasting_note
full_cycle_run_002_merged_timeseries.csv,full_cycle_run_002,734,733.0,0.0,552.0,718.0,682.038,0.0,81.0,747.0,263.606,0.0,493.0,559.0,525.161,0.0; 200.0,0.0; 200.0,70.98,6.4,0.0,0.0,True,candidate
full_cycle_run_003_merged_timeseries.csv,full_cycle_run_003,366,365.0,0.0,-254.0,696.0,643.165,0.0,495.0,708.0,529.093,0.0,561.0,706.0,621.189,0.0; 200.0,0.0; 150.0; 200.0,61.48,21.58,12.02,10.38,True,candidate
