run_name,stage,start_s,end_s,duration_s,esp32_rows,arduino_rows,pump1_on_percent,pump2_on_percent,avg_pump1_pwm,avg_pump2_pwm,max_pump1_pwm,max_pump2_pwm,valve1_on_percent,valve2_on_percent,valve3_on_percent,valve4_on_percent,avg_flow_p1,avg_flow_p2,avg_flow_valve1,avg_flow_outlet,max_flow_p1,max_flow_p2,max_flow_valve1,max_flow_outlet,tower_change,treated_change,raw_change,avg_tower,avg_treated,avg_raw,sensor_error_count,sensor_error_percent,flow_after_pumps_off_count,pump1_low_flow_count,pump2_low_flow_count
full_cycle_run_001,baseline,0,30,30,53,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.568,547.0,741.0,4,10.53,0,0,0
full_cycle_run_001,groundwater_to_raw,30,180,150,303,187,95.05,0.0,142.574,0.0,150.0,0.0,25.08,0.0,0.0,0.0,3.749,0.0,0.541,0.0,5.0,0.0,4.0,0.0,0.0,2.0,-20.0,656.913,546.86,733.779,16,8.56,0,4,0
full_cycle_run_001,raw_to_treated,180,360,180,363,225,30.58,70.52,45.868,105.785,150.0,150.0,30.03,0.0,0.0,0.0,1.209,25.606,0.796,0.0,4.0,43.0,4.0,0.0,-186.0,173.0,-12.0,597.081,596.381,720.354,26,11.56,0,0,2
full_cycle_run_001,treated_to_tower,360,540,180,366,225,0.0,14.48,0.0,21.721,0.0,150.0,0.0,33.88,48.91,25.68,0.0,5.549,0.0,14.303,0.0,40.0,0.0,24.0,56.0,53.0,0.0,464.064,770.005,718.0,29,12.89,300,0,0
full_cycle_run_001,tower_to_groundwater,540,660,120,243,149,36.21,0.0,72.428,0.0,200.0,0.0,12.35,0.0,0.0,73.66,1.634,0.0,0.239,14.053,5.0,0.0,4.0,19.0,90.0,4.0,-4.0,578.097,775.028,718.582,17,11.41,155,3,0
full_cycle_run_001,full_pathway,660,900,240,484,300,100.0,0.0,200.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,4.63,0.0,2.888,0.0,6.0,0.0,5.0,0.0,0.0,-31.0,-16.0,616.0,759.947,709.827,47,15.67,0,0,0
full_cycle_run_001,shutdown,900,1100,200,331,233,82.48,47.43,164.955,94.864,200.0,200.0,96.68,52.57,0.0,0.0,3.77,10.169,3.208,8.444,6.0,48.0,5.0,17.0,-6.0,8.0,-3.0,604.423,752.619,695.526,46,19.74,56,0,2
