run_name,stage,start_s,end_s,duration_s,esp32_rows,arduino_rows,pump1_on_percent,pump2_on_percent,avg_pump1_pwm,avg_pump2_pwm,max_pump1_pwm,max_pump2_pwm,valve1_on_percent,valve2_on_percent,valve3_on_percent,valve4_on_percent,avg_flow_p1,avg_flow_p2,avg_flow_valve1,avg_flow_outlet,max_flow_p1,max_flow_p2,max_flow_valve1,max_flow_outlet,tower_change,treated_change,raw_change,avg_tower,avg_treated,avg_raw,sensor_error_count,sensor_error_percent,flow_after_pumps_off_count,pump1_low_flow_count,pump2_low_flow_count
pump_pwm_sweep_run_002,baseline,0,60,60,122,75,78.69,0.0,62.951,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,748.959,380.0,573.0,13,17.33,0,96,0
pump_pwm_sweep_run_002,pump1_pwm_80,60,130,70,142,88,97.89,0.0,85.775,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.746,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,1.0,0.0,752.405,380.193,573.0,13,14.77,0,89,0
pump_pwm_sweep_run_002,pump1_pwm_100,130,200,70,141,87,92.91,0.0,103.972,0.0,120.0,0.0,0.0,0.0,0.0,0.0,7.319,0.0,0.0,0.0,20.0,0.0,0.0,0.0,33.0,1.0,-17.0,745.221,380.195,571.878,11,12.64,8,4,0
pump_pwm_sweep_run_002,pump1_pwm_140,200,270,70,143,87,87.41,0.0,120.839,0.0,140.0,0.0,0.0,0.0,0.0,0.0,16.629,0.0,0.0,0.0,22.0,0.0,0.0,0.0,32.0,0.0,-57.0,751.388,380.893,535.119,8,9.2,13,3,0
pump_pwm_sweep_run_002,pump1_pwm_180,270,340,70,142,88,85.92,0.0,143.239,0.0,180.0,0.0,0.0,0.0,0.0,0.0,14.585,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-37.0,0.0,-46.0,746.024,381.0,476.741,12,13.64,12,5,0
pump_pwm_sweep_run_002,pump1_pwm_220,340,410,70,142,87,88.73,0.0,175.775,0.0,200.0,0.0,0.0,0.0,0.0,0.0,14.754,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,-42.0,746.988,381.25,428.774,12,13.79,8,2,0
pump_pwm_sweep_run_002,reset,410,470,60,121,75,28.1,6.61,56.364,5.289,220.0,80.0,0.0,0.0,0.0,0.0,4.711,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,-12.0,742.465,381.0,395.639,11,14.67,9,0,8
pump_pwm_sweep_run_002,pump2_pwm_80,470,540,70,143,87,0.0,93.71,0.0,77.063,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.923,0.0,0.0,0.0,11.0,0.0,0.0,-33.0,1.0,0.0,750.602,384.282,394.145,10,11.49,4,0,100
pump_pwm_sweep_run_002,pump2_pwm_100,540,610,70,142,88,0.0,87.32,0.0,88.028,0.0,120.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,16.0,0.0,0.0,28.0,4.0,1.0,749.372,387.153,394.857,9,10.23,8,0,3
pump_pwm_sweep_run_002,pump2_pwm_140,610,680,70,142,87,0.0,91.55,0.0,117.324,0.0,140.0,0.0,0.0,0.0,0.0,0.0,20.725,0.0,0.0,0.0,40.0,0.0,0.0,-100.0,59.0,0.0,731.071,409.857,395.0,9,10.34,8,0,2
pump_pwm_sweep_run_002,pump2_pwm_180,680,750,70,142,87,0.0,84.51,0.0,136.197,0.0,180.0,0.0,0.0,0.0,0.0,0.0,32.43,0.0,0.0,0.0,47.0,0.0,0.0,-104.0,101.0,0.0,659.929,497.458,395.0,9,10.34,17,0,5
pump_pwm_sweep_run_002,pump2_pwm_220,750,820,70,143,88,0.0,93.71,0.0,177.902,0.0,200.0,0.0,0.0,0.0,0.0,0.0,40.608,0.0,0.0,0.0,49.0,0.0,0.0,-127.0,120.0,0.0,552.494,610.893,395.0,9,10.23,9,0,2
pump_pwm_sweep_run_002,shutdown,820,878,58,118,72,0.0,77.12,0.0,168.644,0.0,220.0,0.0,0.0,0.0,0.0,0.0,38.771,0.0,0.0,0.0,54.0,0.0,0.0,-99.0,96.0,0.0,443.058,715.681,395.0,8,11.11,16,0,3
